label,summary,paragraph
"7","0.01秒赵菁100米仰泳夺金：“韩大嘴”你又错了","上海世界游泳锦标赛女子100米仰泳决赛，中国选手赵菁以59.05秒夺冠！她的成绩仅比亚军美国名将考芙琳快了0.01秒。这是游泳比赛中最微弱的时间差，也是赵菁游泳生涯的最佳战绩。"
"7","0.02秒成就美妙 周嘉威以冠军为游泳生涯画句点","泳池中的百米对决，胜负只在电光石火之间。昨晚，尽管入水时仅排在倒数第二，但钻入水中的周嘉威却勇猛无比，在50米转身处，他不仅来到了第一的位置，而且甩开了当时排在第二的日本选手岸田真幸0.09秒。周嘉威的转身技术不错，再次浮出水面时，已经甩开两位日本选手半个身位。然而75米之后，另一位日本选手藤井拓郎突然发力，渐渐追近了周嘉威。最终两人几乎同时抵达终点，现场的电子大屏幕显示，周嘉威以0.02秒的微弱优势赢得了冠军。"
"6","""007""11月5日零点国内上映 将引进","本报讯 (记者孙琳琳)继10月底在英国本土率先上映后，“007”系列的第22部《大破量子危机》将全球的第二站锁定在中国，并提前北美9天公映。多数影院将于11月5日举办零点首映场。此外，今年的最后一部引进大片已确定为《烈焰奇侠：黄金军团》。"
"3","“007”一代落伍遭裁 英军情处招募高科技间谍","中新网3月29日电  据英国媒体28日报道，英国安全部门日前展开了一轮前所未有的裁员潮，以淘汰众多老迈的“间谍”，招募更多具有高技术能力的职员以提升该机构处理计算机和网络问题的能力。"
"6","《007》上映评价两极 网友：高潮戏居然在片头","今年是《007》系列电影诞辰50周年，而最新一集《007：大破天幕杀机》已于21日与内地观众见面。不同于以往007系列的紧张刺激，与其说这部《007：大破天幕杀机》是一部动作大片，不如说它是一部“文艺动作片”，而这也导致观众对这部影片的评价呈现了两极分化的态势。"
"6","""007""与""M""女士蜡像曝光 ""克雷格""表情酷(图)","日前，英国伦敦杜莎夫人蜡像馆推出新的007造型蜡像。丹尼尔·克雷格和朱迪·丹奇的蜡像以片中形象亮相。"
"3","007严重酗酒被树反面典型 研究称其有早亡风险","小说和电影中代号“007”的英国特工詹姆斯•邦德颇为人喜爱。不过，英国研究人员最近揭了这位银幕英雄的丑，称他的酗酒恶习会增加肝脏疾病甚至早亡风险。"
"6","“007”丹尼尔·克雷格与中国粉丝玩自拍(图)","中新网11月13日电 昨晚，《007：幽灵党》中国首映礼在北京举行，“007”丹尼尔·克雷格，新晋“邦女郎”蕾雅·赛杜亮相。该片中国推广曲演唱者张靓颖也现身为影片助阵。"
"6","""007""丹尼尔·克雷格传婚期将近 发言人未否认","著名间谍“007”扮演者丹尼尔·克雷格被传好事将近，将与制片人女友萨苏姬·米歇尔完婚。"
"6","""007""丹尼尔裸上身露肚腩 自毁肌肉男形象(图)","现年40岁的英国男星丹尼尔·克雷格向来被指不够俊朗，缺乏詹姆斯·邦德的英俊潇洒气质，但一身结实的肌肉为他赢得性感猛男的称号，也令其主演的007电影系列大收旺场，成为全球女性梦中情人。"
"3","007电影里水陆两栖“莲花”跑车将拍卖","中新网7月26日电 据台湾“中广新闻网”报道，罗杰•摩尔在007电影《海底城》里开的水陆两栖“莲花”跑车“莲花精神”9月将在英国拍卖。拍卖公司估计可以卖到上百万英镑。"
"6","""007""皮尔斯·布鲁斯南女儿去世 年近42岁","据英国媒体报道，007邦德的扮演者，著名演员皮尔斯·布鲁斯南的女儿夏洛特·艾米丽6月28日因患卵巢癌去世。艾米丽今年42岁，是皮尔斯·布鲁斯南的继女，与疾病斗争已经长达3年。"
"6","“007”皮尔斯度假照曝光 挺大肚腩身材变形(图)","中新网4月21日电 卸任“007”的影星皮尔斯•布鲁斯南(Pierce Brosnan)日前不再需要为“邦德”猛健身，任由身材变形。日前，57岁的皮尔斯和妻子在夏威夷的别墅度假时，被拍到他挺着大肚腩站在沙滩上的一幕，昔日肌肉男形象荡然无存。"
"6","""007""票房有望刷新间谍电影纪录 或超6.94亿","自上月底在全球各地陆续公映以来，最新一部007电影《大破天幕杀机》的吸金速率便势不可挡，目前全球票房已突破3亿大关，达3.21亿美元。本周末，该片即将登陆北美影市，并有望在首周末拿到7000万以上的票房，创造系列票房新高。而在正式上映之前，美国媒体的一大片叫好之声也为影片预计之中的“出色首秀”留下了伏笔。"
"6","“007”穿上洋装戴假发 为妇女节拍宣传片 (图)","中新网3月9日电 昨天是国际三八妇女节，“007”丹尼尔•克雷格(Daniel Craig)为呼吁重视两性平等，不惜反串女人拍摄倡导短片。"
"6","007穿连衣裙戴假发扮少妇 为妇女节拍广告(图)","“007”的扮演者丹尼尔·克雷格在为国际妇女节拍摄的特别广告中，这位纯爷们反串了一把女人，43岁的他戴着假发、穿着连衣裙，形象太过反差令人忍俊不禁，而在007电影中饰演丹尼尔·克雷格上司M的朱迪·丹奇做旁白。"
"6","《007》第23部将开拍 传克雷格搭档绯闻女友","中新网1月13日电 昨日第23部《007》电影确定即将开拍，并在2012年11月9日上映，而男星丹尼尔•克雷格(Daniel Craig)将继续扮演“詹姆斯•邦德”。"
"6","007系列为何常演不衰?编剧制作严谨 品牌植入稳定","■　《幽灵党》剧照"
"6","“007”系列片中潜艇汽车将被拍卖","中新网9月10日电 据BBC中文网消息，詹姆斯•邦德(James Bond)系列片《海底城》(《The Spy Who Loved Me》)中的那辆潜艇车，不久将被拍卖。"
"5","“007”系列电影纪念品拍得261.5万美元","新华社专电 佳士得拍卖行10日说，“007”系列电影纪念品拍卖以261.5万美元成交。"
"6","""007""肖恩·康纳利庆生78岁 推自传体回忆录(图)","一代巨星、首任007扮演者肖恩·康纳利当地时间8月25日出席爱丁堡国际图书节，发布他被期待已久的回忆录。刚过完78岁生日的康纳利亲自出席新书发布会，宣布回忆录《身为苏格兰人》(Being A Scot)正式出版。"
"5","“007”詹姆斯·邦德：建筑的敌人(图)","核心提示：最近的007电影《量子危机》中，大多数观众会被眼花缭乱的火爆动作所吸引，而无暇顾及作为背景的建筑物。这也许未必是有史以来最优秀的007电影，然而，若要评选最佳建筑奖，《量子危机》将毫无悬念地夺魁。"
"6","“007”还未上映 手机和游戏先红火（组图）","第22部“007系列”电影《007：大破量子危机》，将于11月5日在内地抢先上映，比北美提早9天。影片昨日曝光两个视频片段，都是对话，丹尼尔·克雷大秀演技之外，也展示出导演马克·福斯特的文戏功底。有网友惊呼，这样的007“不是邦德是伯恩”。"
"6","007邦女郎华裔女星5选1 业内人士:文化差异都没戏","对“詹姆斯·邦德”的追随者而言，最好的消息莫过于将于本月开机的第23部007电影。这部电影定于2012年11月9日上映，以纪念007电影诞生50周年。"
"6","007邦德改喝啤酒开家用车 植入广告被影迷狂批","随着喜力公司宣布将投资新一部的《007：大破天幕危机》，一向酷爱马提尼(葡萄酒)的詹姆斯·邦德也要改喝喜力啤酒了。"
"6","007风靡银幕50年 阿黛尔为“邦德日”开嗓","昨天是庆祝007银幕诞生50周年的“邦德日”，由风靡全球的英国灵魂歌手、格莱美奖宠儿阿黛尔亲自谱曲并演唱的007第23部电影《007：大破天幕危机》同名主题曲《Skyfall》，也于昨天在网络正式发布，同时索尼还一气发布了本片的首支片段和新款拍摄日志。"
"6","007首创“不接吻”纪录 中国版本一刀不剪","007系列电影第22集《007：大破量子危机》将于11月5日在中国内地抢先公映，这部007最新作品由曾经导演过《追风筝的人》的马克·福斯特执导，并由上一集《007：大战皇家赌场》中的第六代詹姆斯·邦德——丹尼尔·克雷格继续出演男主角。记者从影片发行方中影集团获悉，该片将一刀未剪在中国内地上映。"
"6","""007""首周票房2.2亿 仅次于《阿凡达》的2.89亿","《007：大破天幕杀机》1月21日正式上映，首周7天进账2.2亿。《喜羊羊与灰太狼之喜气喜羊羊过蛇年》1月24日上映，首周4天票房约6000万，不如上部表现。此外，截止到上周日，《一代宗师》累计票房约为2.75亿。"
"6","""007""首周票房2.2亿 难重现""碟中谍4""受追捧盛景","《007：大破天幕杀机》剧照。"
"7","0：2遭斯托瑟横扫 第十次莎娃输了","WTA年终总决赛昨天在伊斯坦布尔打响，之前对阵莎拉波娃9连败的斯托瑟终于止住糟糕的势头，2比0横扫俄罗斯美女。沃兹尼亚奇、科维托娃也在首战中取得胜利。"
"4","0.35元/斤 沈阳大白菜价格比去年降三成多","每年“十一”长假结束都是秋菜开始上市的季节，昨天，沈阳晚报、沈阳网记者来到国道102线新民市大民屯镇附近，这里是沈阳市秋菜产区，道路两旁挤满了拉着白菜、大葱、萝卜等秋菜的货车，销售的农户和商贩熙熙攘攘，好不热闹。但与这种热闹场景不同的是，今年白菜的销售并不是很好，主要靠南下的销路遇阻。去年，大白菜刚上市时0.50元/斤，今年上市价才0.35元/斤，比去年便宜三成多。"
"4","0.3元王老吉要打价格战?  广药称是网站自发行为","中粮我买网红罐王老吉只卖0.3元，虽然仅限一罐，但这样的促销力度还是引来广药要依靠“价格战”反攻凉茶市场的疑问。昨日，广药集团旗下广州王老吉大健康产业有限公司发表声明称，“超低价”王老吉为网站自发促销行为，王老吉上半年销售远超预期，预计今年将突破100亿元销售额。"
"7","03届榜眼秀生涯画句号 米利西奇转型打自由搏击","中新网9月23日电 据NBA中国官网消息，前NBA球员达科-米利西奇将在当地时间本周三正式成为自由搏击运动员。"
"7","0：3申花热身赛完败天津 申花老板朱骏:好好总结","0比3，一场原本以为是势均力敌的比赛，结果成了一边倒。面对上赛季主客场双杀的对手天津，申花昨天表现令人失望。尤其是两位锋线杀手萨梅隆和里亚斯克斯先后被罚下，更是让全队上下颇感窝火。赛后，一直关心赛况的投资人朱骏也打来越洋电话，留给教练组一句话，“好好总结”。"
"7","0:3落后火箭将帅仍不放弃 麦克海尔:没时间忧伤","中新网5月25日电 据NBA中国官网消息，《休斯顿纪事报》报道称，尽管火箭目前在西部决赛0-3落后于勇士，但是他们依然没有放弃的打算。"
"4","05国债9盘中一度上涨25.5% 是乌龙还是对敲","连续6个交易日走跌的上交所国债指数，昨日突然一改疲态，盘中以121.56刷新纪录高点，收盘时该指数回落，涨幅仅为0.05%。国债指数昨日盘中表现主要是受到了05国债9(010509)盘中异动所致，该债盘中最高曾攀升至128.58元，上涨25.5%，但尾盘却以102.8元报收。"
"6","《0.5的爱情》主打治愈风 蒲巴甲为戏卖萌","由邢潇导演，蒲巴甲、江语晨主演的都市爱情电影《0.5的爱情》主打治愈风，温馨浪漫的剧情和精致细腻的影像为该片提供了品质保障。值得一提的是，台湾女星江语晨的“大银幕首秀”比起白百何、林志玲都毫不逊色，被誉为新治愈女王。"
"6","《0.5的爱情》入围上影节传媒大奖","第17届上海国际电影节将于6月14日开幕，备受关注的电影频道传媒大奖日前公布入围影片名单，由青年导演邢潇执导、蒲巴甲、江语晨主演的治愈系浪漫爱情电影《0.5的爱情》高调入围，将在本届电影节角逐多项传媒大奖。"
"6","""05超女三强""7年后将聚首湖南台 节目形式未定","湖南卫视2013年跨年狂欢周继陆续曝出“洗剪吹”、“鸟叔”有望加盟后，昨日记者从湖南卫视总编室获悉，2005年“超女”前三强李宇春、周笔畅、张靓颖确定亮相12月31日的跨年狂欢夜，这也是3位超女阔别7年后第一次集体回“娘家”。"
