cat,label,review
书籍,1,觉得很不错，推荐给许多有小孩子的家长，自己又买了一本，送给朋友了，希望她的宝宝能够健康快乐，远离医院！
书籍,1,认真读了一阵时间了，感觉呢——天书啊，古典文学和现代文学思想的是深海，传播学是海浪，深层的暗涌，表层的激荡...天书啊，如何才能读得懂...
书籍,1,老者还知道你很好奇，知道你有疑问，他还允许你提问，然后他会用他渊博的见识，耐心地为你分析，合情合理，还不乱下结论，好像在和你互动。
书籍,1,喜欢小动物尤其是猫咪的XDJM都要看一下，非常有意思！不喜欢小动物的人就更应该读一下，猫咪或者动物的世界与你没有什么不同！
平板,1,说的挺快，东西挺好。
平板,1,整体感觉不错！速度够快，看2k视频确实很清晰！不论是外放还是耳机，声音都不错！就是色彩偏浓郁了一点。还有就是32g和64g版本价格相差太多了。整机偏贵，性价比不高！
平板,1,和华为手机的用法一样，给我老公办公用的，用来看excel表很合适，开会拿着又方便，用了这么久也没说不好，另外有两个音箱，听歌效果不错哦
平板,1,帮朋友买的，很满意
平板,1,很喜欢，物流配送很快，第二天就收到了
平板,1,物流超快，华为做工挺好，看看电影，玩玩小游戏，收收邮件等，还是挺不错的，预装办公软件，偶尔看看文件和图纸也还可以。好电还可以，我中度使用基本一天下来还有40%电，很不错了。这个价格值！
平板,1,用着不错，看视频耍游戏刚合适，苹果的太大了，当然一定要比可能性能是苹果的好但只是看电影这很足够，还比苹果的便宜多了，打王者荣耀也不卡，流畅可以，女生很适合，苹果是真的大玩游戏，不好控制，物流也快，性价比高，五星！
平板,1,京东就是快，作天下单今天就收货还没时间用，等用了在来评，如果好用还得在买一台呢
平板,1,给闺女玩宝宝巴士的，还不错
平板,1,"华为平板M3配置挺好，显示效果也挺好，指纹解锁非常灵敏好用，还能支持内存卡扩展到128G,很多人性化设计，上下扬声器播放音乐?立体声很强。其它的在陆续评价吧。"
平板,1,平板电脑很漂亮，使用方便，下载流畅。
平板,1,非常好，之前买了一部N8的手机，现在又买了M3，华为确实没让人失望过，赞。
平板,1,质量不错，帮客户买的使用了段时间
平板,1,小平板还可以，通话平板方便，
平板,1,收到的时候包装居然有个洞，其他的目前没什么问题
平板,1,东西好快递快下回还来京东好棒
