cat,label,review
书籍,0,《不一样的卡梅拉》的确不一样！家里那么多图书，儿子偏偏对它情有独钟。没事就把它从书架上拿下来一个人静静地翻阅。要不就问我：“我是卡梅拉，妈妈你是谁？”让我和他一起扮演书中的故事，一遍又一遍的，不厌其烦。可见，这本书已深深地印刻在他幼小的心灵中了。这就是一本不一样的好书！
书籍,0,“奇书”算不上吧！只看结果，成功固然好，但是不一定每件事都要拿出来说。。。
书籍,0,“好聪明的‘小妮子’”老兄！怎么自己设了个陷阱，而又不放诱饵，别人不屑一顾、嗤之以鼻。最后反倒是自己踩进去了？？“我这一身灰……你们的鲜红和洁白”。恩恩恩，不错不错，孔子就是灰的，而你们就是鲜艳的。“在你们这些美女的心目中，孔子是什么样子的？”唉，真是美女心中之仁啊！难怪易老在书前一再提醒大家，此书“不能以人之心，而以妇之心！”而读之。
书籍,0,"赠全彩国家标准经..”为什么不见赠品,难道是骗取别人购买吗"
书籍,0,。。。。里面很多专业东西，看了几页没兴趣看，直接送人了......
书籍,0,"买回来才知道,一点都不好看...."
书籍,0,不怎么样拉，都是很烂的笑话加几个单词而已，贵哦。得考虑呢。。。
书籍,0,做为一本声名在外的流行书，说的还是广州的外企，按道理应该和我的生存环境差不多啊。但是一看之下，才发现相去甚远。这也就算了，还发现其中的很多规则有很强的企业个性，也就说，只是个例，而不是行例。给我们这些老油条看看也就算了，如果给那些对外企向往，或者想了解的freshman来看，实在是容易误导他们。
书籍,0,说实话，从理论上来说，别说求医就是求人也不如求己，但是，很多时候我们自己无法完成的事情，只能求助于别人，生了病，自己能够诊治，当然非常好，但是，有多少人可以完成这件事，尤其是生了比较严重的疾病的时候，不去求医，行吗？我因为身体不好，特意买了《求医不如求己》这两本书，但是，我发现实施起来对自己是有难度的，没办法，我只能一直去医院，一直去医院。还是得求医。在求医的过程当中，逐渐学到了一些医学常识，积累了一些医学常识。如此而已。
书籍,0,呵呵，看完这本书，不得不后悔，不是为了书钱，而是为了时间，说实话，除了书有几页缺角以外，我觉得这本书本身也没有什么值得一读的地方，如果谁想看的话，我可以介绍一下，简单的说，就是金钱崇拜主义。“爱情不重要，但是钱特别重要…………放弃你年轻时烂漫的想法，放弃你的幼稚……”呵呵，有些观点真是很不赞同，其中说既然你三十岁时就会很现实，那为什么不在二十几岁的时候就也很现实，天啊，那我要说，人在不同的年龄当然有不同想法，总不能要一个二十岁的人就和六十岁的人有一样的观点吧……而作者大概就是这个意思……
平板,1,很不错。。。。。。很好的平板
平板,1,帮同学买的，同学说感觉挺好，质量也不错
平板,1,东西不错，一看就是正品包装，还没有开机，相信京东，都是老顾客，还是京东值得信赖，给五星好评
平板,1,总体而言，产品还是不错的。
平板,1,好，不错，真的很好不错
平板,1,很好，音响效果不错。挺喜欢的，用了一段时间才来评价的。
平板,1,包装不是很好，里面太空了我不塞多点汽泡袋，其它的还可以
平板,1,之前一直用华为手机，觉得不错，想试一下平板，前天下单，昨天到货，试了一下，感觉还不错，家里也有ipad，两者不能比较，各有各的好，只是近年一直都用华为，手机，盒子用起来都不错，现在是老妈用苹果手机用ipad，我都用华为，用习惯了。大小也正合适，挺喜欢的，唯一欠缺的一点就是没有耳机。后面多用几次再追评吧。
平板,1,说实话，非常喜欢，这个是送给客户的，之前送的苹果派的，但是不能拷文件，自从找到这款，物美价廉，经济实惠，很喜欢！！！买了好几个了
平板,1,续航能力也太差了吧，看视频1个小时就25%了
