label,summary,paragraph
"6","""007""新片下月内地抢先上映 比北美提前近10天","作为最新一部“007”电影，《安慰量子》何时上映引人关注。据记者从内部知情者处获悉，该片目前已通过国家广电总局电影局审查，内地上映日期初步定为11月5日，比该片的北美上映日期早了近10天。"
"3","007""暗杀金手枪""被盗走 价值至少八万英镑(图)","中新网10月12日电 著名007电影《金枪人》(The Man With The Golden Gun)中那把价值八万英镑的暗杀金手枪在英国一个摄影棚被盗走。"
"6","“007”邦德拍卖电影物品 泳裤4万英镑结标","中新网10月10日电 据新加坡《联合早报》消息，为庆祝“007”邦德上大银幕50周年，世界各地均有庆祝活动，英国伦敦佳士得拍卖行则拍卖邦德电影相关物品来捐助慈善机构，拍卖总额共获得75万英镑。"
"4","08年中国土地出让总收入9600亿元 土地收入锐减","中新社北京一月十五日电(记者 阮煜琳)二00八年中国土地市场急剧降温，全国土地出让总收入九千六百多亿元人民币。相比二00七年全国近一点三万亿元的土地出让收入大幅减少。"
"3","08年二氧化碳排放量增2% 全球人均高达1.3吨","中新网11月18日电     据日本共同社报道，《自然科学》杂志网络版18日刊载了日本国立环境研究所全球碳项目国际研究室发表的报告。报告指出2008年人类活动引起的二氧化碳排放量比07年增加了2%，平均每人排放量达1.3吨，创下历史新高。"
"4","08年保险市场:投连险风波不断 分红险重新走俏","2008年，伴随着A股市场的下跌，以及国内外严峻的经济形势，国内保险理财市场也经历了大起大落的悲喜。"
"3","08年度日本进口车销量时隔16年跌破20万大关","中新网4月6日电     据日本共同社报道，日本汽车进口协会6日公布的统计显示，2008年度进口车销量为19万9115辆，比上一年度减少24.8%，自1992年度(19万1051辆)以来首次低于20万辆。全球经济衰退导致日本消费者心理受到影响。"
"4","08最不靠谱股市名嘴盘点 金岩石看高8000点居首","回顾2008年,资本市场像是和所有人开了个玩笑。2007年股市疯涨为股民们带来的欣喜还没有完全消退,国内外经济形势恶化、上市公司盈利能力急转直下、“大小非”凶猛出逃、机构资金大肆撤离等种种利空因素将大盘直接打到谷底,十连阴、再创新低、大盘跳水等现象反复出现,股民们被接二连三的坏消息摧毁了最后一点信心。但让人难以理解的是,此时仍然有不少经济学家坚持己见,看好股市发展。而他们的观点看上去总是那么有道理。"
"2","08港男尘埃落定 湿身泳装让女观众血脉沸腾(图)","中新网8月3日电 “2008香港先生竞选”终尘埃落定，由12号大热门朱允崇以迷人眼神和灿烂笑容，当选“香港先生”及勇夺“盛年组”冠军，另“少年组”冠军则由6号罗天宇爆冷跑出。赛后大班外籍女评判冲上台向朱允崇献吻祝贺，他表现得来者不拒，一一受落。"
"6","08湖南娱乐财富榜：李湘以3000万元雄踞第一","当我们第二次要以一个纯粹而又近乎笼统的数字来衡量以下30位明星在去年创造的个人财富时，我们突然有了一丝不妥的感觉。而这种感觉，源自记者与出现在这份榜单中被调查对象之一的汪涵的对话——"
